a'dād	numbers; pl of adad
assāe	ad hoc; just
ast	is
asvāt	sounds; interjection; pl of sowt
asā	cane; stick; wand; rod; walking stick; baton; stay
asā-ye nābināyān	cane
asā-ye sehrāmiz	magic wand
asāmi	names; pl of esm
asās	furnishings; basis; foundation; base; ground; cornerstone; fabric; bedrock; fundament
asāsan	basically; essentially
asāsi	basic; fundamental; essential;  basic;  essential;  substantial;  vital;  organic; underlying
asāsiye	luggage; furniture
asāskeši	moving
asāsnāme	articles of association; statute
asātid	professors
asātir	mythology
asātiri	mythologic
at	you; your
ataš	thirst
ataš dāštan	thirst
atbā'	nationals; pl of tabae
atebbā	pl of tabib
atf kardan	refer; advert; connect; direct; hark back; retrospect; return; turn
atfāl	children; pl of tefl
atiq	antique; ancient; old
atiqe (atiqejāt)	antique; relic
atiqeforuš	antiquarian; antiquary
atiqeforuši	antique shop
atiqejāt	pl of atiqe
atiyye	gift; donation; present
atlas	atlas; satin
atmosfer	atmosphere; aerosphere
atom	atom; monad; mote; perfect
atomi	nuclear; atomic
atr	perfume; fragrance; aroma; scent; odor; attar
atr zadan	perfume; scent; use perfume
atrāf	around; environs; environment; surrounding; pl of taraf
atrāfi	rural
atrāfiyān	friends
atse	sneezing; sneeze; sternutation; hiccup; sniffle; sputter
atse kardan	sneeze; cough
attār	perfumer; grocer
atā	grant; gift; granting; donation; present
atā kardan	bestow; confer; give; grant
avaz	change; exchange; substitute; compensation; shift; quid pro quo; reward
avaz dādan	compensate; give in exchange; recompense; reward
avaz kardan	change; remodel; replace; swap; exchange; alter
avaz šodan	change; be substituted
avazi	backup; spare; auxiliary; duplicate; reserve; reserved; falsely; faultily
avazi gereftan	mistake
Avestā	Avesta
avval	first; prime; initial
avval (avāyel)	first; prime; initial
avval in ke	first; firstly
avvalan	first; firstly; imprimis
avvali	first; prior; pristine;  pristine
avvalin	first; initial; initiatory
avvaliye	early; primary; preliminary; primitive
avām	common people; populace
avāmel	pl of āmel
avāmer	orders; pl of amr
avāmfarib	demagogic; demagogical; demagogue
avāmāne	popularly; commonly
avānes	handicap
avār	debris; shakedown; collapse; detrition
avāre	adrift; arrant; excursive; straggler; gadabout; immigrant; runabout; straggle; tramp
avāre budan	moon; wander
avārez	complication; complications; toll; charges; taxes
avārez-e gomrok pardāxtan	declare; pay duty on
avārez-e gomroki	duty; customs duty
avārez-e otobān	toll
avāset	mid; pl of vasat
avātef	pl of ātefe
avāxer	late
avāxer-e	late; recently
avāyel	early; pl of avval
axavi	brother
axbār	news; information; assertion; pl of xabar
axiran	lately; newly
axlāq	morality; moral; behavior
axlāqi	ethical; moral; moralist
axm	fret; frown; scowl; sulk; lour; lower
axm kardan	scowl; pout; frown; fret; lour; glower
axte	eunuch
axte kardan	castrate
axxāzi	extortion
axxāzi kardan	bleed; cadge; extort
axz	catch; grasp; prehension
axz-e ra'y	vote
ayyām	time; pl of yowm
ayyām-e javāni	youth
ayyām-e ta'til	holidays
