a'dād	numbers; pl of adad
az pā dar āvardan	wear out
az qabil-e	such as
az qabl	before; already
az qadim	have always been
az qalam andāxtan	omit; drop; slip; pretermit
az qarār-e ma'lum	apparently
az rāh b-e dar bordan	seduce; entice
az rāh-e dur	from afar
az rāh-e xoški	overland
az rāh-e zamini	overland
az sar gereftan	resume; renovate
az sar oftādan	topple
az sarmā larzidan	shiver; chitter
az su yi	on the one hand
az su-ye	in the name of; on behalf of
az su-ye digar	on the other hand
az taraf-e	in the name of; on behalf of
az taraf-e digar	on the one hand
az taraf-i	on the one hand
az tariq-e	through; via
az tars dolā šodan	cower
az tešnegi mordan	die of thirst
az vaqt-i ke	since
az vasat	across; crosswise; athwart; crossways; through;  per;  thru
az vasat-e	through; thru
az vejhe-ye omumi andāxtan	ostracize
az xod bixod šodan	ravish; transport; flip
az xod dar āvardan	dream up; excogitate; fabricate; invent
az xod darāvardan	fabricate
az xod defā' kardan	defend oneself
az xāb bar xāstan	rise; uprise
az xāb bidār šodan	wake up; wake
az xāk dar āvardan	exhume; disinter; excavate
az xānevāde-ye saltanati	royalty
az yektaraf	on the one hand
az yād bordan	forget; unlearn
az yād raftan	forget
az zir xarāb kardan	undermine
az ānjā ke	since; because
az ānjā-yi ke	since; because
az ānmowqe'	since; since then
az ān ru	hence; therefore
az šekl-e tabii andāxtan	distort
az šir gereftan	wean
az šir-e āb jāri kardan	tap
az-in-be-ba'd	hereafter; hereinafter
azab	single; unmarried person
azbar	by heart
azbar kardan	memorize; learn by heart
azbeynrafte	defunct; extinct
azemat	greatness; grandeur; magnificence; glory
azhampāšide	disintegrated; crumbled; shattered
azhān	pl of zehn
azim	massive; great; enormous; tremendous; vast; immense; terrific; grand
azimat	departure; going; flight; determination; intention; outgo
azimat kardan	depart; leave; resolve; start
azimojjosse	huge; colossal; enormous; Gargantuan; immense; tremendous
azingozašte	furthermore
azinpas	hereinafter; hereafter
aziyat	harassment; harm; persecution; tease; annoyance; nuisance
aziyat kardan	offend; pester; hock; harass; tease; grind; hurt; worry
aziyat kardan (kon)	tease
aziz	ample; dear; darling
azizdordāne	minion; favorite; favourite
azjomle	including; among
azkāroftādegi	breakdown
azl	dismissal; discharge; removal; deposal
azl kardan	dethrone; remove; depose; dismiss
azlā'	sides; pl of zel'
azm	determination; intention; resolution; decision; purpose; impetus
azmodoftāde	old-fashioned; out-of-date
azole (azolāt)	muscle
azolāni	muscular
azolāt	pl of azole
azqalamandāzi	skip
azqazā	ironically
azxodbixodi	rapture; ravishment; trance
azā	mourning
azā gereftan	mourn
azāb	torment;  suffering;  agony;  torture;  anguish;  rack; agony; suffering
azāb dādan	hassle; bother; give trouble; irk; molest; annoy; trouble; torment
azāb kešidan	suffer
azāb-e vejdān	remorse; pangs of conscience
azābdehande	bother; nudnik; hanger-on
azābāvar	agonizing
azādār	mourner; mournful
azādāri	mourning
azādāri kardan	mourn; howl
azān	prayer call
a'dād	numbers
a'lā	premium;  golden;  best
A'rāb	Arabs
a'sār	ages; periods
a'zā-ye xānevāde-ye saltanati	royalty
aš	him; his; her
aš'ār	pl of še'r
ašadd	severest
ašae	ray
ašae-ye x	X-ray
ašaedarmāni	ashhdrmany
ašbāh	pl of šabah
ašire (ašāyer)	tribe
ašk	tear; teardrop; brine
ašk rixtan	weep; cry
ašk-e temsāh	crocodile tears
ašk-e šādi	Tears of joy
aškāl	figures
aškāl-e moxtalef yek harf	graph
aškālud	tears
Aškāniyān	Parthian
aškāvar	tear; lachrymal; lacrimal
ašrāf	nobles; noblesse
ašrāfi	aristocratic; noble; patrician
ašrāfiyat	noblesse
ašrāfsālāri	oligarchy
ašrār	bandits
ašxās	individuals; pl of šaxs
ašyā	objects
ašyā'	things
ašyā-ye gerānbahā	precious objects
aš'ār	poems
ašāyer	pl of ašire
ašg	tears
agar	if
agarce	although; though; however
agarna	if not
ba'd	next; subsequent; then; away; dimension; distance; later
ba'd az	after
ba'd az in ke	after
ba'd az ān ke	after that; after
ba'dan	afterwards; afterward; thereinafter
ba'dan telefon kardan	call back
ba'dazin	after this; hereinafter
ba'dazzohr	afternoon; postmeridian; p.m.; post meridiem
ba'dhā	later; thereafter
ba'di	next one; subsequent; further; future; latter; ulterior; latest
ba'z-i	some; certain
ba'z-i owqāt	sometimes; from time to time
ba'z-i vaqthā	sometimes; from time to time
ba'zan	sometimes
babr	tiger; tiger cat
bacce	baby; kid; child
bacce-ye nāmašru'	bastard
bacce-ye sarerāhi	foundling
bacce-ye velgard	street child
bacce-ye širxāre	infant; baby
baccebāz	pederast; sodomite
baccebāzi	buggery; pederasty
baccedār	child bearing
baccedāri	parenting; childcare
baccegi	childhood
baccegorbe	kitten; kitty; kit
baccegāne	childish
baccenane	namby-pamby
bacce zāyidan	light; fawn; kit
baccedozdi kardan	kidnap
baccegi	childhood; boyhood; babyhood
baccegāne	childish; infantile; childlike; childly
bad	bad; evil; ill; badly; stickit; mal-; mis-; icky; unfavorable; mean
bad be kār bordan	abuse; mishandle; misuse
bad este'māl kardan	abuse; ill-use
bad gozaštan	have no pleasure
bad āmadan	dislike
bad āmadan (ā)	distaste; dislike
bad āvardan	being unlucky
bad šenidan	hard of hearing
bad'axm	cranky; ill-humored
bad'onoq	cranky; ill-humored
badal	substitute; change; apposition; false; brassy; replica; imitated
badali	imitation; artificial
badan	body; frame; microcosm; corporality
badandard	body pain
badandiš	malicious
badandiši	malice
badane	body; fuselage; trunk; hull
badane-ye havāpeymā	fuselage
badane-ye otomobil	bodywork; body
badani	physical; bodily; corporal
badansāzi	bodybuilding; fitness
badavi	bedouin; nomad; primitive; initial
badaxlāq	bad tempered; impatient; vile; cranky; ill-humored
badaxlāqi	immorality; misconduct; depravation
badbaxt	miserable; wretch; unfortunate
badbaxti	misery; misfortune; adversity; disaster; mishap; reverse
badbaxtāne	unfortunately
badbin	pessimistic; pessimist
badbini	pessimism; downbeat
badbināne	cynical
badbiyāri	pitch
badbiyāri āvardan	being unlucky
badbu	foul; stinking
baddahani	blackguard
baddahān	abusive
baddahāni	abuse; scurrility; swearword
badfahm	misconceived
badfahmi	misunderstanding
badgomān	suspicious; mistrustful
badgomān budan	distrust; being suspicious
badgomāni	suspicion; mistrust
badguyi	speaking ill of
badguyi kardan	knock; vilify; abuse; maledict; speak ill of
badhesāb	non-creditworthy
badi	evil; vice; disservice; subsequent; further
badi'	exquisite; novel; original
badihe	improvisation
badihesāzi	improvisation
badihi	obvious; evident; trivial; prima facie
badihiyāt	axiom
badil	alternative
badjens	wicked; mean; mischievous; malefic; shrewish
badjensi	malice; malignancy; wickedness
badjur	awfully
badkerdār	evil
badkār	wicked; evil; bad; evildoer; malefactor; vicious; flagitious; malicious
badkāre	quean
badmaze	bad taste; brackish; unsavory; bad tasting
badnahād	viper; malevolent; malign
badnām	notorious; infamous; unpopular
badnāmi	bad reputation; notoriety; blot
badqavāre	out of shape
badqavāregi	deformity
badqowl	unreliable; perfidious; unfaithful
badqowli	bad promise; breach of promise
badqowli kardan	break one's word
badr	full moon; harvest moon
badraftār	bad behavior
badraftāri	misbehavior; misconduct; ill usage; maltreatment
badraftāri kardan	manhandle; maltreat; misbehave; mistreat; ill-treat
badraqe	escort; convoy; accompanying
badraqe kardan	convoy; accompany
badrixt	malformed; ugly; hideous
badrixti	malformation
badsaliqe	bad taste; tasteless
badsaliqegi	bad taste
badserešt	ill-natured
badseršti	ill-natured
badsegāl	vicious; mischievous
badta'm	aversive; distasteful
badtar kardan	worsen; embitter; exacerbate; deteriorate; aggravate; exasperate
badtarkib	ugly; clumsy; hideous
badtinat	vicious; malignant; vile
badxat	bad handwriting
badxim	malignant; virulent; malign
badximi	malignity
badxolq	unfriendly
badxu	cranky; wicked
badxāb	poor sleep
badxābi	poor sleep
badxāh	malevolent; malignant; sinister
badxāhi	malice; malevolence; rancor
badzabāni	abuse; profanation; swearword; vituperation
badzabāni kardan	abuse; clapperclaw
badzāt	naughty; villainous; villain
badzāti	naughty; roguery; villainy
badāmuz	would be bad
badāmuzi	bad education
badšāns	unlucky; star-crossed
badšānsi	misfortune; ill luck; contretemps; pitch; bad luck
badšānsi āvardan	being unlucky
badgomān	suspicious; distrustful; mistrustful
badgomāni	suspicion; mistrust; distrust
badgowhar	ignoble; lowborn
badgu	ill-speaking
badguyi	abuse; defamation; denunciation
bahman	avalanche; snowslide; snowbreak; Iran. Calendar, 11th month
bahmanmāh	month of Bahman; Iran. Calendar, 11th month
bahr	measure
bahre	interest; portion; share; lot; profit
bahrebardār	beneficiary; benefic
bahrebardāri	use; operation; exploitation
bahrebardāri kardan	exploit; use; operate; utilize
bahrebari	by lead of
bahredehi	productivity
bahregiri	use; utilization
bahrekeši	exploitation
bahremand	rewarded; blessed; profited by
bahremand šodan	enjoy; have
bahrevari	productivity
Bahreyn	Bahrain
bahreyuyi	exploit
bahregiri	utilization
bahri	maritime; marine
bahs	discuss; squabble; wrangle; discussion; quarrel; altercation; argument; argumentation; debate; brabble
bahs kardan	argue; bandy; discuss; dissert; quarrel; tussle; treat
bahsangiz	controversial
bahsbarangiz	controversial
bahā	price; value; cost
bahādār	securities; valuable
bahāne	excuse; pretext; plea; fetch; pretense; allegation;  pretext;  plea;  fetch;  pretense;  alibi; stall; alibi
bahānegir	pernickety; persnickety
bahānegiri	excuse-making
bahār	spring
bahāri	vernal; spring like
bahārxāb	terrace
bahāyi	baha'i
baid	unlikely; remote; far; farfetched; unseemly
bal'	swallowing; godown; gulp
bal'idan	swallow; devour; engorge; guzzle; gorge; ingurgitate
bal'idan (bal')	swallow; slings
bal'ide	swallowed
balad	balad; cicerone
balad budan	know; can; being able
bale	yes; aye; yea
bale qorbān!	yes sir!
baleqorbāngu	yes-man
bali	yes
balkan	blakeney
balke	but; rather; even; perhaps
Baluc	Baloch
Balucestān	Balochistan
baluci	Ballucci
balut	oak; chestnut; glans
balvā	riot; uproar; fracas; uprising
balā	misfortune; disaster
balāhat	stupor; tommyrot
Balāl	Maize; Indian Corn
bam	bass
banafš	violet; violaceous; purple
banafše	violet
banafše-ye farangi	pansy
band	clause; paragraph; dam; article; wristband; bind; bond; fit; link; tie; binder
band rekāb	stirrup leather; strap
band zadan	garter; leash; joggle; tinker
band āmadan	stop
band āvardan	block; stanch; stem; stop
band-e angošt	knuckle
band-e carmi	strap; leather; belt
band-e jurāb	garter
band-e kafš	lace
band-e raxt	clothes-line
band-e sāat	watchband
band-e šalvār	brace
bandar	port; seaport; wayside
bandar (banāder)	port
bandargāh	harbor; port; haven; strand; harbour
bandbāz	tightrope walker; galoot; contortionist
bandbāzi	acrobatics
bande	servant; slave; thrall
bandegi	slavery; servitude; bondage
bandpā	arthropods
bandpāyān	arthropods
bang	hemp
bannā	mason
banā	building; construction
banā bar	therefore; on; at; because of; due to; according to
banā bar in	so; therefore; thus
banā be gofte-ye ba'z-i	alleged
banā be gozārešhā	reportedly
banā kardan	build; construct; erect; ground; mason; put up; establish
banā nehādan	establish
banā-ye tārixi	monument
banā-ye yādbud	monument
banāder	ports; pl of bandar
banāguš	parotid
baqal	armpit; bosom; sheaf
baqal gereftan	clip; lock
baqal kardan	hug; embrace; embosom
baqal(-e)	armpit; next to
baqal-e	next to
baqaldast(-e)	next to
baqaldast-e	next to
baqaldasti	next to
baqiye	other; remnant; others; rest; left
baqqāl	grocer
baqqāli	grocery; chandlery
baqā	survival; survivorship; duration; durability; permanence; perpetuity
baqāyā	remains; remnants; vestige; vestigial; leftover; reliquiae; rest
bar	on; upon; against; land; bosom; mainland
bar afruxtan	overheat; kindle; glow; enflame; enkindle; fire; provoke
bar afrāštan	hoist; raise
bar aks-e	unlike; in contrast to; as opposed to
bar andāxtan	abolish; overthrow; deracinate; destroy; exterminate; nullify
bar angixtan	prod; arouse; infuse; roust; excite; cheer; impulse; provoke
bar asās-e	according to; based on
bar dāštan	remove;  take;  lift;  pick up;  raise;  delete; take; lift; pick up; raise; delete
bar dāštan-e  māne'	clearance
bar engāštan	hypothesize
bar gardāndan	evoke; regurgitate; refract; return; replicate; distort; turn; convert; reflect; reverse; translate; upset
bar gaštan	rebound; return; come back; remount; reverse; bend; change; revert; topple
bar gozidan	elect;  pick;  choose;  select;  opt;  designate; pick; choose; select; opt; designate; prefer
bar ham zadan	bash; disturb; ruffle; faze; unsettle; overset
bar hasb-e	by; according to; in
bar mabnā-ye	based on
bar mehvar-e xod gardidan	rotate
bar pā kardan	set up; erect; establish; stand up; found; inaugurate; raise
bar pāye-ye	based
bar ru-ye	onto; on; upon
bar sar gozāštan	wear
bar tebq-e	according to; per
bar xalāf-e	unlike; with; athwart; in contrast to; as opposed to
bar xalāf-e qānun	illegally
bar xāstan	rise; up; get up; arise; levitate; step up; rise up
bar āmadan	rise; arise
bar ān budan	go
bar ān dāštan	lead;  persuade; persuade
bar āvardan	fulfill; comply; fulfil
bar'aks	vice versa; contrariwise; unlike; inverse
bar'alayhe	against
bar'ohde	responsible
bar(-e)	on; upon; at
barafruxte	bloodshot; ablaze; madding
barafrāšte	elate
barahut	wilderness
baraks	vice versa; inverse
barakāt	barakat
barande	winner; winning
barande šodan	win
barande-ye jāyeze	prizewinner
barandāxtan	overthrow; exterminate
barandāz	glance
barandāz kardan	glance
barandāzande	subversive
barandāzi	extermination; overthrowing
barangizeš	impulse
barangixte	excited; hot; wrathful
barangizande	impressive; provocative; excitant; stimulator; exciter
barbar	berber
barbariyat	barbarism
barbast	rule; law
barbat	lute
barbādrafte	gone with the wind; windswept; lorn
barcasb	label; tag; ticket; sticker
barcasb zadan	label; tag
barcasb-e qeymat	price tag; price sticker
barcasbzani	labeling
barcasbgozār	labeling
barcasbgozāri	labeling
barcide	closed
bardast	aide; assistant
barde	slave
bardedār	slavery; slaveholder
bardedāri	slaveholding; slavery
bardeforuši	slave trade
bardegi	slavery
bardegi	slavery; servitude; enslavement
bardegān	slaves
bardāšt	removal; impression; harvest
bardāšt kardan	remove; harvest; get impression
bardāšt-e mahsul	harvest
bardāštan	remove; take; pick up
bardāštan (dār)	take
bardāšte	removed
bardāšti	understanding
bardāštšode	harvested
barekat	blessing; bliss; benediction
barekat dādan	bless; sain
barengāšt	hypothesis
barf	snow; hydrometeor
barf bāridan	snow
barf āmadan	snow
barf-e bādāvarde	drift
barfak	thrush; flake; canker
barfbāzi	snowfight; snowball fight
barfi	snowy
barfpākkon	wiper; windshield wiper
barg	leaf
barg dādan	leaf; foliate; leave
barg-e darxāst	application form
barg-e jarime	ticket; parking ticket
bargardān	translation
bargardāndan	turn; translate
bargardāndan (gardān)	turn; return; translate
bargardānde	recurrent
bargardānide	returned
bargašt	return
bargašt bā havāpeymā	return flight
bargašt dādan	return
bargaštan (gard)	return; come back
bargerefte	from; derived
bargozidan (bargozin)	choose; select
bargozidan (gozin)	choose
bargozār	held
bargozār kardan	hold; organize
bargozār našodan	being canceled
bargozār šodan	being held
bargozāri	holding; organizing
bargozārkonande	organizer; organizing
bargrizān kardan	shed
barhaqq	legitimate
barhazar	beware
barin	sublime
barjeste	highlight; outstanding; prominent; leading; distinguished; eminent; noted; striking; master
barjeste sāxtan	relieve
barjestegi	prominence; relief; salience; eminence; saliency; swell
barjā	leaving
barjāmānde	remaining
barjāy gozāštan (gozār)	leave
barkenār	removed
barkenār kardan	oust; out; relieve
barkenāri	dismissal
barkenāršode	ousted
barkešide	elevated
barmalā	revealed; flagrant; exposed
barmalā kardan	uncover; expose; reveal; betray
barnāme	program; plan; schedule; scheme; code; syllabus
barnāme-ye axbār	newscast
barnāme-ye harekat	timetable
barnāme-ye kāmpiyuter	computer program
barnāme-ye parvāz	timetable; schedule
barnāme-ye televiziyon	TV program
barnāmenevis	programmer
barnāmenevisi	programming; coding;  coding
barnāmeriz	programmer
barnāmerizi	planning; schematization
